Designator,Footprint,Value,LCSC Part #
C1,C_0402_1005Metric,1uF,C15849
C2,C_0402_1005Metric,1uF,C15849

C3,C_0402_1005Metric,100nF,C1525
C4,C_0402_1005Metric,100nF,C1525
C5,C_0402_1005Metric,100nF,C1525
C6,C_0402_1005Metric,100nF,C1525
C7,C_0402_1005Metric,100nF,C1525
C8,C_0402_1005Metric,100nF,C1525
C9,C_0402_1005Metric,100nF,C1525
C10,C_0402_1005Metric,100nF,C1525
C11,C_0402_1005Metric,100nF,C1525
C12,C_0402_1005Metric,100nF,C1525
C13,C_0402_1005Metric,100nF,C1525
C14,C_0402_1005Metric,100nF,C1525
C15,C_0402_1005Metric,100nF,C1525

C16,C_0402_1005Metric,33pF,C1647
C17,C_0402_1005Metric,33pF,C1647

C18,C_0603_1608Metric,10uF,C19702
C19,C_0603_1608Metric,10uF,C19702

R1,R_0402_1005Metric,27,C25190
R2,R_0402_1005Metric,27,C25190

R3,R_0402_1005Metric,5.1K,C25905
R4,R_0402_1005Metric,5.1K,C25905

R5,R_0402_1005Metric,10K,C25804
R6,R_0402_1005Metric,10K,C25804

R7,R_0402_1005Metric,1K,C11702
R8,R_0402_1005Metric,1K,C11702

R9,R_0603_1608Metric,330,C23138

D1,LED_0603_1608Metric,LED,C72043
D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,SK6812,C2761795

SW1,SW_Push_SPST_NO_Alps_SKRK,SW,C318884
SW2,SW_Push_SPST_NO_Alps_SKRK,SW,C318884

U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,RP2040,C2040
U2,SOT-23-5,AP2112K-3.3,C51118
U3,SOIC-8_5.3x5.3mm_P1.27mm,W25Q128JVS,C97521
U5,SOT-666,USBLC6-2P6,C282765

Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,12MHz,C9002

# DO NOT ASSEMBLE (through-hole)
J1,PinHeader_1x20_P2.54mm_Vertical,Conn,
J2,PinHeader_1x20_P2.54mm_Vertical,Conn,
J3,PinHeader_1x03_P2.54mm_Vertical,Conn,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C,C165948